"","employee","Salary2017","salary_adjust","Salary2018","raise"
"1","Employee 1",42690.8067567274,-929.221275728196,41761.5854809992,FALSE
"2","Employee 2",42345.0633278117,-3844.44127907045,38500.6220487412,FALSE
"3","Employee 3",49856.8136035465,7859.63148111477,57716.4450846612,TRUE
"4","Employee 4",48807.0172863081,-3389.54117964022,45417.4761066679,FALSE
"5","Employee 5",42952.8859304264,470.797170419246,43423.6831008457,TRUE
"6","Employee 6",46295.364566613,7416.77348385565,53712.1380504686,TRUE
"7","Employee 7",48216.1062699743,9739.64175675064,57955.7480267249,TRUE
"8","Employee 8",42609.5017394982,2473.68712793104,45083.1888674293,TRUE
"9","Employee 9",45601.2975051999,-4474.19437114149,41127.1031340584,FALSE
"10","Employee 10",44251.3567465357,9603.97366550751,53855.3304120433,TRUE
"11","Employee 11",47081.2872354873,1529.0349686984,48610.3222041856,TRUE
"12","Employee 12",42360.6120352633,139.960281085223,42500.5723163486,TRUE
"13","Employee 13",45957.9986776225,1699.64653323404,47657.6452108566,TRUE
"14","Employee 14",46532.6816495508,9545.3069335781,56077.9885831289,TRUE
"15","Employee 15",40522.2185142338,-1546.47640883923,38975.7421053946,FALSE
"16","Employee 16",48631.5975501202,6503.55533347465,55135.1528835949,TRUE
"17","Employee 17",49103.044832591,8777.67964731902,57880.72447991,TRUE
"18","Employee 18",41395.6110668369,-1894.56101274118,39501.0500540957,FALSE
"19","Employee 19",44249.2591193877,3593.62022485584,47842.8793442436,TRUE
"20","Employee 20",45317.7784965374,5513.15753371455,50830.9360302519,TRUE
"21","Employee 21",40011.2793152221,8652.81546255574,48664.0947777778,TRUE
"22","Employee 22",43515.5305056833,-4049.77857251652,39465.7519331668,FALSE
"23","Employee 23",42867.4645675346,2787.34782827087,45654.8123958055,TRUE
"24","Employee 24",43422.4771242589,3631.80777407251,47054.2848983314,TRUE
"25","Employee 25",48203.5295106471,7985.88948557153,56189.4189962186,TRUE
"26","Employee 26",40590.761071071,9717.91221061721,50308.6732816882,TRUE
"27","Employee 27",47794.5965039544,5667.92238387279,53462.5188878272,TRUE
"28","Employee 28",41427.7492184192,4438.07319970801,45865.8224181272,TRUE
"29","Employee 29",40975.2250928432,543.331687804312,41518.5567806475,TRUE
"30","Employee 30",44215.0638229214,-719.749500276521,43495.3143226448,FALSE
"31","Employee 31",49532.7923237346,5164.18669023551,54696.9790139701,TRUE
"32","Employee 32",49134.4916867092,-579.777853563428,48554.7138331458,FALSE
"33","Employee 33",40146.317454055,4690.10867062025,44836.4261246752,TRUE
"34","Employee 34",43726.3886234723,5078.25166452676,48804.6402879991,TRUE
"35","Employee 35",46577.4985193275,-1524.3986225687,45053.0998967588,FALSE
"36","Employee 36",48954.767244868,-4100.36593908444,44854.4013057835,FALSE
"37","Employee 37",49103.6686953157,416.970778023824,49520.6394733395,TRUE
"38","Employee 38",40965.3130918741,9667.4789802637,50632.7920721378,TRUE
"39","Employee 39",44367.1298655681,7389.35904460959,51756.4889101777,TRUE
"40","Employee 40",46671.8592424877,1001.19110546075,47673.0503479484,TRUE
"41","Employee 41",42171.791382134,-3029.14701751433,39142.6443646196,FALSE
"42","Employee 42",40537.6912374049,-2103.20064332336,38434.4905940816,FALSE
"43","Employee 43",42490.4855364002,578.65928625688,43069.1448226571,TRUE
"44","Employee 44",46496.2344500236,-4087.99077849835,42408.2436715253,FALSE
"45","Employee 45",44233.2119983621,-2853.84341026656,41379.3685880955,FALSE
"46","Employee 46",48801.0067865252,5089.6787410602,53890.6855275854,TRUE
"47","Employee 47",49873.6243299209,3682.91093502194,53556.5352649428,TRUE
"48","Employee 48",48397.4022860639,-2047.45827009901,46349.9440159649,FALSE
"49","Employee 49",44974.3197695352,33.0870796460658,45007.4068491813,TRUE
"50","Employee 50",44579.5006444678,1905.84258409217,46485.3432285599,TRUE
"51","Employee 51",43613.4595121257,-3045.15567375347,40568.3038383722,FALSE
"52","Employee 52",45065.6053144485,-2306.54474813491,42759.0605663136,FALSE
"53","Employee 53",46486.6043324582,921.10211844556,47407.7064509038,TRUE
"54","Employee 54",49609.5772855915,6201.10793970525,55810.6852252968,TRUE
"55","Employee 55",48057.0596060716,2611.39957932755,50668.4591853991,TRUE
"56","Employee 56",47463.7950886972,3779.22258572653,51243.0176744238,TRUE
"57","Employee 57",45815.2710972354,7693.69158078916,53508.9626780245,TRUE
"58","Employee 58",41922.8526460938,-2261.49594062008,39661.3567054737,FALSE
"59","Employee 59",44160.7218887657,467.048734426498,44627.7706231922,TRUE
"60","Employee 60",44064.7967276163,469.291909830645,44534.088637447,TRUE
"61","Employee 61",46195.6391087733,4429.48199342936,50625.1211022027,TRUE
"62","Employee 62",49347.7183463983,2112.5485340599,51460.2668804582,TRUE
"63","Employee 63",46313.2245652378,-399.91318131797,45913.3113839198,FALSE
"64","Employee 64",48799.0227551199,3171.34404322132,51970.3667983413,TRUE
"65","Employee 65",41861.5503935143,2962.9903822206,44824.5407757349,TRUE
"66","Employee 66",48034.4193428755,2351.2523365207,50385.6716793962,TRUE
"67","Employee 67",40522.651723586,8609.55225187354,49132.2039754596,TRUE
"68","Employee 68",46873.2350342907,-4257.50431721099,42615.7307170797,FALSE
"69","Employee 69",46519.5542061701,114.172587636858,46633.726793807,TRUE
"70","Employee 70",44455.534638837,-1150.28061321937,43305.2540256176,FALSE
"71","Employee 71",46553.7851979025,5460.32880083658,52014.113998739,TRUE
"72","Employee 72",43244.2245073617,8668.55459520593,51912.7791025676,TRUE
"73","Employee 73",43532.5597389601,-1151.63629176095,42380.9234471992,FALSE
"74","Employee 74",42817.2427020036,-695.096231065691,42122.1464709379,FALSE
"75","Employee 75",47680.7127287611,7871.13078869879,55551.8435174599,TRUE
"76","Employee 76",41778.8642295636,2881.09780871309,44659.9620382767,TRUE
"77","Employee 77",42063.2995362394,7972.44570567273,50035.7452419121,TRUE
"78","Employee 78",43369.1364875995,854.51518651098,44223.6516741104,TRUE
"79","Employee 79",49949.0245617926,8679.77691930719,58628.8014810998,TRUE
"80","Employee 80",46625.052425079,-318.744947435334,46306.3074776437,FALSE
"81","Employee 81",47842.7015943453,6322.78535980731,54165.4869541526,TRUE
"82","Employee 82",41055.5582889356,9229.86594494432,50285.4242338799,TRUE
"83","Employee 83",46624.2343047634,2945.60472248122,49569.8390272446,TRUE
"84","Employee 84",43077.0971998572,5016.51797327213,48093.6151731294,TRUE
"85","Employee 85",46589.4448640756,3500.42199715972,50089.8668612354,TRUE
"86","Employee 86",40108.7219780311,-748.943955404684,39359.7780226264,FALSE
"87","Employee 87",48926.6368956305,2755.31795690767,51681.9548525382,TRUE
"88","Employee 88",41927.5358063169,-4720.35826998763,37207.1775363293,FALSE
"89","Employee 89",42173.8049713895,2474.0971182473,44647.9020896368,TRUE
"90","Employee 90",42461.6595893167,725.799849024042,43187.4594383407,TRUE
"91","Employee 91",48567.7360161208,9415.46228830703,57983.1983044278,TRUE
"92","Employee 92",43786.2637685612,2619.24139456823,46405.5051631294,TRUE
"93","Employee 93",41354.3564872816,6267.85397762433,47622.2104649059,TRUE
"94","Employee 94",47137.428058777,1764.88073775545,48902.3087965325,TRUE
"95","Employee 95",40653.7330639549,9076.95525907911,49730.688323034,TRUE
"96","Employee 96",40439.2981110141,1909.84122687951,42349.1393378936,TRUE
"97","Employee 97",41034.1543680988,6687.03958392143,47721.1939520203,TRUE
"98","Employee 98",41855.8078212664,-2022.94204500504,39832.8657762613,FALSE
"99","Employee 99",45173.8969585858,9996.25544762239,55170.1524062082,TRUE
"100","Employee 100",45956.6292632371,3807.50602926128,49764.1352924984,TRUE
